,code,country
242,739,INVALID: DRONNING MAUD LAND (ANTARCTICA-NORWAY)
243,394,INVALID: FRENCH SOUTHERN AND ANTARCTIC
244,501,INVALID: GREENLAND
245,404,INVALID: GUAM
246,730,INVALID: INTERNATIONAL WATERS
247,731,INVALID: JOHNSON ISLAND
248,471,"INVALID: MARIANA ISLANDS, NORTHERN"
249,737,INVALID: MIDWAY ISLANDS
250,753,INVALID: MINOR OUTLYING ISLANDS - USA
251,740,INVALID: NEUTRAL ZONE (S. ARABIA/IRAQ)
252,710,INVALID: NON-QUOTA IMMIGRANT
253,505,INVALID: PUERTO RICO
254,0,INVALID: STATELESS
255,705,INVALID: STATELESS
256,583,INVALID: UNITED STATES
257,407,INVALID: UNITED STATES
258,999,INVALID: UNKNOWN
259,239,INVALID: UNKNOWN COUNTRY
260,134,INVALID: USSR
261,506,INVALID: U.S. VIRGIN ISLANDS
262,755,INVALID: WAKE ISLAND
263,311,Collapsed Tanzania (should not show)
264,741,Collapsed Curacao (should not show)
265,54,No Country Code (54)
266,100,No Country Code (100)
267,187,No Country Code (187)
268,190,No Country Code (190)
269,200,No Country Code (200)
270,219,No Country Code (219)
271,238,No Country Code (238)
272,277,No Country Code (277)
273,293,No Country Code (293)
274,300,No Country Code (300)
275,319,No Country Code (319)
276,365,No Country Code (365)
277,395,No Country Code (395)
278,400,No Country Code (400)
279,485,No Country Code (485)
280,503,No Country Code (503)
281,589,No Country Code (589)
282,592,No Country Code (592)
283,791,No Country Code (791)
284,849,No Country Code (849)
285,914,No Country Code (914)
286,944,No Country Code (944)
287,996,No Country Code (996)' ;
